id,name,symbol,data_added,last_updated,price,volume_24h,circulating_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d
2159,Rage Fan,RAGE,2021-03-31T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.4261519104598274e-03,+1.1724403690640000e+04,+5.6719937581277780e+07,+4.0000000000000000e+08,+4.0000000000000000e+08,-3.5482377199999999e+00,-3.8714510000000000e+00,-2.6954507799999998e+00
2160,Cosmo Coin,COSM,2018-07-23T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.2002406131322391e-04,+0.0000000000000000e+00,+6.7078088857439005e+08,+9.2300000000000000e+08,,+4.0481700000000002e-03,+7.1905800000000002e-03,+3.7402999999999998e-03
2161,Nsure.Network,NSURE,2020-09-29T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.4207706977973961e-02,+2.2777238320804000e+05,+5.6689640000000000e+06,+4.5000000000000000e+07,,+2.5180490000000000e-02,+7.1526087399999998e+00,+7.3039375099999999e+00
2162,Polis,POLIS,2018-01-10T00:00:00.000Z,2023-02-12T02:18:00.000Z,+8.1818943489450520e-03,+6.5141223990000000e+01,+9.8318905669539999e+06,+9.8318905669539999e+06,+2.5000000000000000e+07,-2.4716553999999999e-01,-4.2740584300000002e+00,-6.7946472399999998e+00
2163,Switch,ESH,2019-07-16T00:00:00.000Z,2023-02-12T02:18:00.000Z,+6.5414576353590211e-03,+4.5647845599999997e+01,+1.2113792764168199e+07,+1.2113793064168200e+07,+1.3573399000000000e+07,-1.1118453000000000e-01,+1.0310593699999999e+00,-2.6268586440000000e+01
2164,Forest Knight,KNIGHT,2021-08-19T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.0084403003308031e-02,+1.0187814281958000e+05,+7.7408228286402998e+06,+1.0000000000000000e+08,+1.0000000000000000e+08,-1.3017835999999999e-01,+7.6826930999999998e-01,-7.6467050199999997e+00
2165,Gourmet Galaxy,GUM,2021-02-03T00:00:00.000Z,2023-02-12T02:18:00.000Z,+2.3422787870946676e-02,+7.0637611027880004e+04,+3.3121446099999999e+06,+2.0000000000000000e+07,+2.0000000000000000e+07,-2.8562317999999998e-01,-3.4278130099999999e+00,-8.8368775599999996e+00
2166,Elpis Battle,EBA,2021-11-19T18:07:06.000Z,2023-02-12T02:18:00.000Z,+3.4881183462012505e-03,+1.0407100468000000e+02,+2.2172718399999999e+07,+4.8136362827246803e+08,+1.0000000000000000e+09,-2.0206540000000001e-01,+4.0956010999999998e-01,-4.9998599099999996e+00
2167,BidiPass,BDP,2019-09-05T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.9904233990756826e-04,+1.4315025889999999e+01,+3.8663133678744298e+08,+1.5000000000000000e+09,,-5.9102780000000001e-02,+3.8237907999999998e-01,+3.8034824700000001e+00
2168,YVS.Finance,YVS,2020-12-16T00:00:00.000Z,2023-02-12T02:18:00.000Z,+5.7781162327476043e-02,+3.2649095834560001e+04,+1.3252440839618000e+06,+1.8536101820075000e+06,+2.0000000000000000e+06,-3.0086668000000000e-01,+1.8670095200000001e+00,-5.0790970099999999e+00
2169,Aigang,AIX,2018-01-11T00:00:00.000Z,2023-02-12T02:18:00.000Z,+2.5922190756606732e-03,+1.7482549329900000e+03,+2.9274566724462561e+07,+2.9274566724462561e+07,,-6.4004890000000003e-01,-1.4711618099999999e+00,+1.1220400800000001e+00
2170,IQ.cash,IQ,2018-09-12T00:00:00.000Z,2023-02-12T02:18:00.000Z,+6.3912812649291727e-03,+2.6101420682908999e+05,+1.1962737512620941e+07,+1.9821218956445560e+07,+5.6900000000000000e+07,+6.3399492999999996e-01,-4.7621538299999999e+00,+1.7252091839999999e+01
2171,Sentinel Chain,SENC,2018-04-02T00:00:00.000Z,2023-02-12T02:18:00.000Z,+3.7982873186530471e-04,+1.5772756976630000e+04,+1.9726966585685799e+08,+5.0000000000000000e+08,,-9.6929940999999997e-01,+5.6215106999999997e-01,-1.4501544399999999e+00
2172,PKG Token,PKG,2018-08-08T00:00:00.000Z,2023-02-12T02:18:00.000Z,+8.3057193006518707e-06,+0.0000000000000000e+00,+8.9692577451100006e+09,+1.0000000000000000e+10,,-1.1644421000000001e-01,+1.2676644900000000e+00,-7.7116131599999997e+00
2173,ShoeFy,SHOE,2021-10-16T10:59:18.000Z,2023-02-12T02:18:00.000Z,+5.7111449174875708e-03,+1.2152243665200000e+04,+1.3013746880000001e+07,+1.0000000000000000e+08,+1.0000000000000000e+08,-5.1862107000000002e-01,+1.1097482149999999e+01,+1.2850070580000001e+01
2174,Rentberry,BERRY,2018-04-06T00:00:00.000Z,2023-02-12T02:18:00.000Z,+2.4418055430418527e-04,+0.0000000000000000e+00,+3.0143130699199259e+08,+3.0147302768713224e+08,,-4.7796390000000001e-02,+4.7700871000000000e-01,-1.7778740760000002e+01
2175,Non-Fungible Yearn,NFY,2020-10-13T00:00:00.000Z,2023-02-12T02:18:00.000Z,+7.5069023413508773e-01,+0.0000000000000000e+00,+9.7346356750609993e+04,+1.0000000000000000e+05,,+0.0000000000000000e+00,+0.0000000000000000e+00,-3.2896454799999999e+00
2176,Beyondfi,BYN,2021-04-06T00:00:00.000Z,2023-02-12T02:18:00.000Z,+8.2097219211312699e-03,+1.4229768281544000e+05,+8.8631745710000005e+06,+1.0000000000000000e+08,+1.0000000000000000e+08,-4.6325578000000001e-01,-3.5044775300000000e+00,-1.3153484610000000e+01
2177,ION,ION,2016-06-08T00:00:00.000Z,2023-02-12T02:18:00.000Z,+3.9224766562289300e-03,+0.0000000000000000e+00,+1.8298068083097171e+07,+2.4198068083097171e+07,,-3.0177110000000000e-02,-1.8016204600000001e+00,+3.6072848799999999e+00
2178,Cheesecoin,CHEESE,2018-10-17T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.7443887027624060e-04,+1.2416926800000001e+00,+4.0886990800000000e+08,+4.0886990800000000e+08,+3.5000000000000000e+09,-1.1118453000000000e-01,-1.1848068240000000e+01,-1.6983889919999999e+01
2179,Sportcash One,SCONEX,2021-05-14T00:00:00.000Z,2023-02-12T02:18:00.000Z,+5.5588638757359202e-03,+9.2337576181299992e+03,+1.2706570220000001e+07,+1.0000000000000000e+08,+1.0000000000000000e+08,-4.1862150000000001e-02,+1.4736864460000000e+01,+2.0862549200000000e+00
2180,Golden Goose,GOLD,2021-01-19T00:00:00.000Z,2023-02-12T02:18:00.000Z,+4.2008421459628371e-04,+1.0078727882500000e+03,+1.6599420890004912e+08,+5.0000000000000000e+08,+5.0000000000000000e+08,+4.0481700000000002e-03,-8.6890868599999997e+00,-2.3659929580000000e+01
2181,Insured Finance,INFI,2021-01-22T00:00:00.000Z,2023-02-12T02:18:00.000Z,+2.3118568436277785e-03,+3.3609014440000003e+01,+2.9755073100000449e+07,+1.2000000000000000e+08,+1.2000000000000000e+08,-4.8425810000000000e-02,+9.7759669999999999e-01,-8.5491013700000007e+00
2182,KIMCHI.finance,KIMCHI,2020-09-01T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.3347733347237219e-05,+1.5228560499999999e+00,+5.1480062250000000e+09,+0.0000000000000000e+00,,-4.8425810000000000e-02,+1.9055670300000001e+00,-6.3916273500000003e+00
2183,Po.et,POE,2017-09-01T00:00:00.000Z,2023-02-12T02:18:00.000Z,+2.1804858784530075e-05,+0.0000000000000000e+00,+3.1415926530000000e+09,+3.1415926530000000e+09,,-1.1118453000000000e-01,+6.9428917999999995e-01,-2.2172396800000001e+01
